review;
The individual performances are great and the images are stunning, and -- perhaps most important -- Gladiator offers an escapist quality that makes its derivative flaws seem minor.;
"Gladiator is not a bad film at all; in fact, it's visually stunning, easily the most impressive work Scott has done since ""Blade Runner."" But it is apparent that reaction to this film is splitting along a fault line called ""age.""";
This Ancient Roman swords-and-sandals epic is one of the last big-budget, grandiose Hollywood blockbusters to win Best Picture.;
Great visual spectacle and first-rate entertainment... [Full review in Spanish];
When the dust finally settled, “Gladiator” pulled off a few minor miracles. It catapulted Crowe into super-stardom, removed any doubt that Scott could work within any particular genre with success, and took a dusty old genre and made it new again.;
Gladiator benefits from a second half that is, given its focus on Maximus’ vengeance-fueled exploits, virtually overflowing with spellbinding interludes...;
The film’s most important effect, if you will, is Crowe himself as the unabashed hero General Maximus, followed closely by Joaquin Phoenix as the Emperor Commodus. Gladiator is at heart their simple story.;
It is an honorable movie, so are they all honorable movies. But that's not enough. It's not great. It's a disappointment. Caesar hates disappointment, so kill it swiftly and be done.;
The new film has spectacular fight scenes in dazzling sets and a familiar story about honor and betrayal, courage and cowardice. It's the perfect vehicle for some old-fashioned sword-clanging fun.;
"Gladiator delivers everything its title promises. The surprise is that this bold revival of the period ""sword-and-sandals"" epic does so with solid acting, sure pacing and superior style interspersed with payoff-worthy pathos.";
Such magnitude demands a heroically proportioned star, and Russell Crowe is the man, muscled but mournful and quietly spiritual. All hail, Maximus.;
Gladiator gets kudos for attempting to give a fresh face to the genre but it's merely a good, not great, film.;
The real star of the film is director Ridley Scott, who transports you from the comfort of your theater seat to the darkness that was Rome.;
The blend of digital imagery and contemporary showmanship combine to make you feel like a privileged ticket-holder at a compellingly ghastly program in the most famous arena on Earth.;
The way the movie repeatedly drives home the motivations for Phoenix's paternally scorned neurosis and Crowe's proud victim becomes repetitious; you think they could have brought some more shading to the characters in 160 minutes.
A mountain, a fever dream, an epic poem of a motion picture. Equal parts Ben-Hur and Braveheart, it is a victory not likely to be equaled any time soon.;
"Wholly improbable and voluptuously satisfying, Gladiator and its sheer shivery pleasure in cinematic spectacle and big emotion deserve a very Roman ""thumbs up.""";
"There is a plot, but it is at once so derivative and so undernourished that it never really registers as a story. As far as it goes, it's ""Spartacus Lite,"" minus that epic's moral grandeur.";
We're on the cusp of a new golden age for moviemaking. Ridley Scott is hardly equipped to light the way, but that he or anybody is willing to deliver a jolt of electricity to a genre as dead and dumb as the Roman epic is thrilling in itself.;
Gladiator isn’t awful, but it ain’t exactly a Roman holiday.;
"Fortunately, the resulting film, Gladiator, has Scott being a lot more ""on"" than he's been for a long, long time. It's a handsome-looking, testosterone-driven epic that's among the very best things he's ever produced.";
On a story level, Gladiator is solid and engaging but squarely in the dramatic tradition of its forebears. On a spectacle level, Scott's film rises to new heights of visual grandeur and visceral impact.;
This is a neatly wrought blend of two classic film categories: The historical drama and the revenge movie. Director Ridley Scott keeps the sequences wound tightly -- there's not a moment that something interesting isn't going on.;
Although Gladiator is enjoyable enough, it lacks the pop of great pop culture. Roman movies usually have preposterous scripts, but this one is preposterous and doleful.;
Crowe effortlessly projects a warrior's intelligence, as well as his unshakable belief in an ideal called Rome. Whenever Gladiator veers into a blind alley, or starts to suffer under the weight of bad writing, he comes along to steer it right.;
It is gripping stuff, with Russell Crowe so muscular and heroic in the central role and Joaquin Phoenix giving a really interesting interpretation to Commodus.;
Cinematographically important and tremendously entertaining.  [Full review in Spanish];
Gladiator doesn't strike any blows for innovation. Its plot has been cobbled together from earlier blood-and-sand epics.;
[Gladiator] succeeds on two fronts. One is the unabashed neato-ness of man-eating tigers and of warriors toiling in hand-to-hand combat. The other is the intellectual thrills exerted by the film's meticulous recreation of Rome.;
